,Lyrics
"""Nothin' on You""",beautiful girl world could chasin time would wasted got nothin baby nothin baby might say might say hey worry say cause got nothin baby yeah nothin baby nothin baby nothin yeah know feel comin regardless thing past done done really hell fun fun carousel around spun spun direction tryna get tryna chase skirt livin summer sun sun lost ever honestly ended none huh much nonsense conscience thinkin maybe get wan sound redundant wonderin somethin wan know wan know never mind let let cause wan episode episode bad thought let hey might also like beautiful girl world could chasin time would wasted got nothin baby nothin baby nothin nothin baby nothin baby nothin might say might say hey hey worry say cause got nothin baby nothin baby nothin nothin baby nothin baby nothin yeah hand never another one nope around never seen another one nah style really got nothin nothin wild got nothin baby whole package plus pay tax huh keep real others stay plastic plast wonder woman call fantastic stop think london yeah paris yeah even way tokyo tokyo back home georgia yeah new orleans yeah always steal show steal show like girl got froze got froze like nintendo never knew well know know know know know hey beautiful girl yeah world could chasin time would wasted got nothin baby nothin baby nothin nothin baby nothin baby nothin might say might say hey hey worry say cause got nothin baby nothin baby nothin nothin baby nothin baby nothin yeah everywhere always hearin name name matter girl make wan sing sing whether bus plane plane car train train girl brain one blame beautiful girl yeah world could chasin time would wasted got nothin baby nothin baby nothin nothin baby nothin baby nothin might say might say hey hello worry say cause got nothin baby nothin baby nothin nothin baby nothin baby nothin yeah hehehe let ride bruno mar 
"""I Like It""",yeah baby like like got believe tell said like like got believe tell said like like like dollar like diamond like stuntin like shinin yeah like million dollar deal pen bitch signin signin like balenciaga one look like sock like going jeweler put rock watch cha ching like text ex want second chance like proving nigga wrong say call cardi bardi banging body spicy mami hot tamale hotter somali fur coat ferrari rrr woo hop stu jump coupe coupe big dipper top roof flexing bitch hard eating halal driving lam told bitch sorry though sorry though bout coin like mario mario yeah call cardi run shit like cardio woo fact might also like diamond district chain chain said like like certified know gang gang gang gang said like like woo drop top blow brain woo woo said like like handsome name yeah woo fact said like need dollar cha ching said like like beat like atas said like like tell driver close curtain said like like skrrt bad bitch make nervous said like cardi chambean chambean pero jalan jalan compras la jordan la regalan jeje spend club bank wuh yeh new religion bang latino gang gang yeh trato hacer dieta pero que closet tengo mucha grasa yeh wuh mud gucci dentro casa yeh wuh cabr conocen plaza diablo llama pero jesucristo abraza guerrero como eddie que viva raza yeh gustan boricuas gustan cubanas gusta acento la colombianas hubo pues como mueve culo dominicana que rico que chingan la venezolanas wuh andamos activos perico pin pin wuh billetes cien malet ching que retumbe bajo bobby valent yeh buh aqu prohibido amar diles charyt que picor le tengo clarit llego disco forma mot rrrah diamond district chain said like like bad bunny baby beb beb certified know gang gang gang gang said like like woo drop top blow brain woo woo said like like handsome name yeah woo yeh said like need dollar cha ching said like like beat like atas said like like tell driver close curtain said like like skrrt bad bitch make nervous said like como celia cruz tengo car jeva vio fue pecho como jimmy snuka vamos tumbar peluca arranca carajo cabr que pasar hookah hookah hookah mi tenis balenciaga reciben entrada wuh paparazzo like lady gaga wuh hagas que cover billboard visto cara salgo mente wuh donde quieras que viajes escuchado gente soy hype soy como testarossa hype rossa soy que vive tambi que goza goza goza cosa mami cosa cosa cosa que mira sufre que toca goza goza goza goza said like like said like like rrr said like like woo said like like diamond district chain said like like certified know gang gang said like like drop top blow brain woo said like like handsome name yeah said like 
"""BedRock""",make bed rock young money make bed rock girl kane building nigga make bed rock make bed rock got good good michael jackson bad attracted attractive as murderer kill time knock light still shine hate see love watch leave keep running back forth soccer team cold winter day hot summer eve young money thief steal love leave like way walking walking way red bull let fly away let buy place kind space let judge case gudda gudda put see stevie wonder ever wonder cause know bad got nigga grocery bag might also like ooh baby stuck like glue baby wan spend baby room spot call flintstone make bed rock ooh make bed rock ooh make bed rock girl ooh make bed rock ooh make bed rock ayy okay get let think guess turn maybe time put pussy sideburn say bad prob right pressing like button down friday night pretty like pedal bike low starch egg white say nicki stop bestest coming top asbestos love sushi roll hotter wasabi race love shake bake ricky bobby meet lobby girl got watch back cause anybody seen stand line get beside let see aston let rest surprise disappear need gps find girl thought recognized ooh baby stuck like glue baby wan spend baby room spot call flintstone make bed rock ooh make bed rock ooh make bed rock girl ooh make bed rock ooh make bed rock ayy like tanning like staying like romance like rolling friend said caged think conscience watching oxygen watching espn show end skin lotion slow motion rollercoastin like back forth hold pose like poster poke like suppose take photo said ever show loyal focused losing hopeless spoke rejoiced said word get open closed clothes loving moment got man alone miss independent yeah got hey gorgeous mean flawless well see call yeah look look walk hmm know bad thang baby even mad leavin fast stay awhile hold head chris take ooh baby stuck like glue baby wan spend baby room spot call flintstone make bed rock young money yea yea ooh make bed rock ooh make bed rock girl gudda gudda street mack maine millz ooh make bed rock ooh make bed rock ayy tyga tyga ooh baby stuck like glue baby drizzy drake nicki minaj wan spend baby hey chanel lil twist lil chuckie young lloyd ayee room spot call flintstone make bed rock ooh make bed rock young money ooh make bed rock girl ooh make bed rock ooh make bed rock ayy 
"""In My Head""",jason derulo beluga height mon yeah everybody looking love woo huh reason club huh gon find dancing got better solution girl huh leave say word teacher show rope rope see side love never known see goin goin head see head fulfill fantasy head screamin loud head goin head goin head yeah head yeah mon might also like dude know right thing say ayy ayy come game said instead talking let demonstrate yeah yeah get business skip foreplay foreplay ayy yeah leave say word teacher show rope rope see side love never known never known see goin goin head see baby head fulfill fantasy fulfill fantasy head screamin loud head goin head goin head break ayo ayo mon let ayo singin baby head right ayo ayo mon yeah ayo ayo screamin go leave say word teacher show rope rope see side love never known never known see goin goin head see head head fulfill fantasy head head screamin loud head head goin head goin head see head fulfill fantasy baby head screamin loud head goin head head goin goin head 
"""Rude Boy""",come rude boy boy get come rude boy boy big enough take take yeah baby baby yeah take take yeah love love come rude boy boy get come rude boy boy big enough take take yeah baby baby yeah take take yeah love love tonight let captain tonight let thing yeah tonight let rider giddy giddy giddy babe tonight let fire tonight let take higher tonight baby could get yeah could get yeah like boy want want want whatchu want want want give baby like boom boom boom want want want want want want nah nah might also like come rude boy boy get come rude boy boy big enough take take yeah baby baby yeah take take yeah love love come rude boy boy get come rude boy boy big enough take take yeah baby baby yeah take take yeah love love tonight give harder tonight turn body relax let wan got need put buckle give stronger hand could little longer tonight get little crazy get little crazy baby like boy want want want whatchu want want want give baby like boom boom boom want want want want want want nah nah come rude boy boy get come rude boy boy big enough take take yeah baby baby yeah take take yeah love love come rude boy boy get come rude boy boy big enough take take yeah baby baby yeah take take yeah love love like way touch like way pull hair babe feel faking like tell kiss like tell move giddy time get say rude boy show got come right take take baby baby take take love love come rude boy boy get come rude boy boy big enough take take yeah baby baby yeah take take yeah love love come rude boy boy get come rude boy boy big enough take take yeah baby baby yeah take take yeah love love love love love love love love take take baby baby take take love love love love love love yeah yeah yeah take take baby baby take take love love 
"""Telephone""",serial picture fix telephone starring lady gaga beyonc tyrese gibson county jail february prison bitch jail guard ooh comin prisoner gon make swim blood bitch lady gaga hello baby prisoner come bitch let get pussy bitch prisoner prisoner little mama mami police told dick police bad speaker lady gaga got call prisoner got nothing prisoner girl prisoner bitch prisoner girl get bitch prisoner get prisoner whooo speak beyonc line gaga guard lucky day som idiot bailed guard back honey beyonc bad girl bad bad girl gaga lady gaga mmh honey lady gaga sure want honey beyonc mean sure lady gaga know say kill cow got make burger beyonc know gaga trust like mirror fix broke lady gaga still see crack motherfucker reflection radio radio lady gaga featuring beyonc telephone beyonc honey tyrese gibson tyrese gibson problem poison smack customer one piece poison cook kill recipe rat poison meta cyanide fex cup tiberium shake stir good luck beyonc knew would take honey selfish motherfucker ein zwei drei reporter scene crime appears mass homicide police search two woman said fleeing scene crime pussy wagon lady gaga honey let far far away beyonc promise never come back lady gaga promise 
"""Teenage Dream""",think pretty without makeup think funny tell punch line wrong know get let wall come met alright thing kinda heavy brought life every february valentine valentine let way tonight regret love dance die young forever make feel like livin teenage dream way turn sleep let run away ever look back ever look back heart stop look one touch baby believe real take chance ever look back ever look back drove cali got drunk beach got motel built fort sheet finally found missing puzzle piece complete might also like let way tonight regret love dance die young forever make feel like livin teenage dream way turn sleep let run away ever look back ever look back heart stop look one touch baby believe real take chance ever look back ever look back get heart racing skin tight jean teenage dream tonight let put hand skin tight jean teenage dream tonight tonight tonight tonight tonight tonight tonight make make feel like livin teenage dream way turn sleep let run away ever look back ever look back heart stop look one touch baby believe real take chance ever look back ever look back get heart racing skin tight jean teenage dream tonight let put hand skin tight jean teenage dream tonight tonight tonight tonight tonight tonight tonight 
"""Just the Way You Are""",eye eye make star look like shinin hair hair fall perfectly without tryin beautiful tell every day yeah know know compliment believe sad think see see every time asks look okay say see face face face thing would change cause amazing amazing way smile smile smile whole world stop stare cause girl amazing amazing way yeah might also like lip lip could kiss day let laugh laugh hate think sexy beautiful tell every day know know know never ask change perfect searching stay even bother askin look okay know say see face face face thing would change cause amazing amazing way smile smile smile whole world stop stare cause girl amazing amazing way way way girl amazing amazing way see face thing would change cause amazing amazing way smile whole world stop stare cause girl amazing way yeah 
"""Cooler Than Me""",could write song make fall love would already arm used trick hope like probably think cooler got designer shade hide face wear around like cooler never say hey remember name probably cause think cooler got highbrow shoe foot wear around like shit know way look step make much noise shh see got figured need everyone eye feel seen girl vain probably think song could write song make fall love would already arm used trick hope like probably think cooler got designer shade hide face wear around like cooler never say hey remember name probably cause think cooler might also like got high brow switch walk even look pas know way look step make much noise shh see got figured need everyone eye feel seen girl vain probably think song could write song make fall love would already arm used trick hope like probably think cooler got designer shade hide face wear around like cooler never say hey remember name probably cause think cooler dare act like know know know know cause nose approachin pshht yup like give winter summer summer winter miami december tryna look bored dior dior probably actin shallow til found deep pocket mr primadonna reminder think fine finer sean yup cause sure seems got doubt see got head cloud could write song make fall love would already arm used trick hope like probably think cooler got designer shade hide face wear around like cooler never say hey remember name probably cause think cooler 
"""Imma Be""",verse overdosing swag put whole god damn hood rehab many rumples duffle close bag much cash need hand count stash cool gucci mane back never need mask best check stash must hall cin tin day girl glad supermodel crashing pad model drinking outta gold bottle tru religion jean sagging as please crash goin fast touchdown anywhere need pas might need gum cause finna talk trash cuz keep task like kid class hater hit hater see untouchable hater sure see know hit hit head standing foot ready bitch crocodile dun sheet never met girl fuck first week never seem throw white mink floor live gucci might also like got life live much game give could watch show chillin crib week turn month month turn year smoking dro ima fuck hoe ima ball today wake ball tell grown man prerogative ima mind biz ima live life forever rocking ice throwing money popping bottle cause like verse screaming mma like black eyed pea wan free wan best eased really want beef ima fight tree looking like swiss cheese came home thinking bout sleep bitch favorite rapper slept week thinkin bout like street know soon foot touch concrete pull south beach blowing tree whipping street like riding new ferrari flying peachtree girl might roll window gucci mane please make sure free fall booth like fire jumping roof dont need water please bring weed nigga win wan switch team entertain mean wan get nigga chase dream stop chasing like dope fiend starting day shit since turned whole life changed icy album chart came week gucci verse auntie stroke still speak wrote every week real talk thats deep cell mate got piece released till son birthday boy turned looking like looking look back watch move make move made fuck around move 
"""Empire State of Mind""",yeah yeah brooklyn tribeca right next niro hood forever new sinatra since made make anywhere yeah love everywhere used cop harlem hola dominicanos melo right broadway brought back mcdonald took stash spot state street catch kitchen like simmons whippin pastry cruisin street white lexus drivin slow texas bed stuy home boy biggie live billboard brought boy say still sippin mai tai sittin courtside knicks net give high five nigga spiked come could trip referee come tell attitude come definitely new york ayy yeah aha concrete jungle yeah dream made nothin yeah okay new york aha aha aha yeah street make feel brand new new big light inspire come okay let hear new york welcome new york yeah new york made hot nigga might also like catch yankee game shit made yankee hat famous yankee know bleed blue crip though got gang nigga walkin clique though welcome meltin pot corner sellin rock afrika bambaataa shit home hip hop yellow cab gypsy cab dollar cab holla back foreigner fair act like forgot add eight million story naked city pity half make got plug special got made jeezy payin lebron payin dwyane wade three dice cee three card marley labor day parade rest peace bob marley statue liberty long live world trade come come long live king come empire state new york ayy yeah concrete jungle dream made nothin boy good okay new york yeah welcome bright light baby street make feel brand new big light inspire okay let hear new york new york yeah new york light blinding girl need blinder could step bound quick side line lined casualty sip life casually gradually become worse bite apple eve caught crowd style winter get cold vogue skin city sin pity whim good girl gone bad city filled mami took bus trip got bust everybody ride like bus route hail mary city virgin jesus save life start church end came school graduated high life ball player rap star addicted limelight mdma come got feelin like champion come city never sleep come better slip ambien new york ayy yeah concrete jungle dream made nothin okay new york yeah street make feel brand new big light inspire okay let hear new york new york yeah new york one hand air big city street light big dream lookin pretty place world could compare nah put lighter air everybody say yeah yeah come come yeah yeah come new york yeah concrete jungle dream made nothin okay new york yeah yeah street make feel brand new big light inspire okay let hear new york new york yeah new york 
"""DJ Got Us Fallin' in Love""",usher usher usher yeah man back club body rockin side side side side side thank god week done feel like zombie gone back life back back life hand yeah suddenly got hand control body seen think remember eye eye eye eye eye eye cause baby tonight got falling love love yeah baby tonight got falling love love gain dance dance like last last night life life gon get right cause baby tonight got falling love love gain might also like keep downin drink like tomorrow right gon set roof fire gon burn motherf come hand music drop put hand put hand body swear seen think remember eye eye eye eye eye eye cause baby tonight got falling love love yeah baby tonight got falling love love gain yeah dance dance like last last night life life gon get right cause baby tonight got falling love love gain usher lie haha hear evil speak evil see evil get baby hope catch like roll life movie tivo mami got twisted like dreadlock wrestle got headlock yabba dabba doo make bed rock mami fire pshh red hot woo bada bing bada boom worldwide step room hustler baby knew tonight dale cause baby tonight got falling love worldwide yeah yeah let take world haha yeah baby tonight hahahaha yeah man got falling love dale let falling love woah dance dance like last last night life life gon get right woo come come cause baby tonight night got falling love yeah love yeah baby tonight somebody get somebody get got falling love love gain somebody get hand get hand get hand come dance dance like last last night life life gon get right cause baby tonight got falling love love gain hahaha yeah thank haha 
"""Billionaire""",wan billionaire fucking bad buy thing never wan cover forbes magazine smiling next oprah queen every time close eye see name shiny light yeah different city every night swear world better prepare billionaire yeah would show like oprah would host everyday christmas give travie wish list probably pull angelina brad pitt adopt bunch baby never shit give away mercedes like lady last least grant somebody last wish couple month single call travie claus minus aha get probably visit katrina hit damn sure lot fema yeah forget stupid everywhere theme music might also like every time close eye see see bruh see name shiny light yeah else yeah yeah different city every night swear world better prepare billionaire billionaire let playing basketball president dunking delegate compliment political etiquette toss couple milli air heck keep five twennies ten ben completely separate yeah whole new tax bracket recession let take crack probably take whatever left split everybody love couple buck single tummy around would know hungry eating good sleeping soundly know similar dream pocket pull wallet put air sing wan billionaire fucking bad bad buy thing never buy everything wan cover forbes magazine smiling next oprah queen oprah every time close eye see see bruh see name shiny light yeah else yeah yeah different city every night swear world better prepare billionaire sing billionaire wan billionaire fucking bad 
"""Not Afraid""",afraid afraid yeah take stand take stand ride everybody everybody guess come take hand come take hand place get one walk road together storm whatever weather cold warm might still place lettin know alone tryna get holla feel like road follow get try read lyric paper lay take sting word say cause way let stop causin mayhem say somethin give damn think doin fuck world feed bean gassed think stoppin set without doubt undoubtedly look tearin balcony ifs ands buts try ask infinite last relapse album still shittin whether salary paid hourly bow shit bowel whichever come first better worse married game like fuck christmas gift curse forget earth got urge pull dick dirt fuck whole universe might also like afraid afraid take stand take stand everybody everybody come take hand come take hand walk road together storm whatever weather cold warm lettin know alone holla feel like road okay quit playin scissors shit cut crap rhyme word rhythm know wrap said king lied teeth fuck feeling instead gettin crowned gettin capped fan never let back promise never back promise fact let honest last relapse ehh perhaps ran accent ground relax goin back tryna say get back click clack blaow cause playin around game called circle know way back think still tryna figure crap thought mapped guess fuckin black cloud still follows around time exorcise demon fucker doin jumpin jack afraid afraid take stand take stand everybody everybody come take hand come take hand walk road together storm whatever weather cold warm lettin know alone holla feel like road keep livin way startin today breakin cage standin face demon mannin hold ground enough fed time put life back together right decision get clean admittedly probably subliminally could come back brand new helped see even realize cause believe wringer little middle finger think got tear eye feel like king world hater make like bee stinger drop dead beef lingers drama promise focus solely handlin responsibility father solemnly swear always treat roof like daughter raise lift single shingle cause way feel strong enough club corner pub lift whole liquor counter cause raisin bar shoot moon busy gazin star feel amazin afraid afraid take stand take stand everybody everybody come take hand come take hand walk road together storm whatever weather cold warm lettin know alone holla feel like road 
"""Replay""",shawty like melody head keep got singing like every day like ipod stuck replay replay shawty like melody head keep got singing like ayy every day like ipod stuck replay replay remember first time met mall friend scared approach came closer hoping would give chance would ever knew would ever friend real worldwide breaking rule like song played girl like something poster girl dime say girl gun holster running mind day ayy might also like shawty like melody head keep got singing like ayy every day like ipod stuck replay replay shawty like melody head keep got singing like ayy every day like ipod stuck replay replay see around globe leave mind talk phone night til morn girl really changed life doin thing never kitchen cooking thing like real worldwide breaking rule someday wan make wife girl like something poster girl dime say hey girl gun holster running mind day ayy shawty like melody head keep got singing like ayy every day like ipod stuck replay replay shawty like melody head keep got singing like ayy everyday like ipod stuck replay replay melody girl could write symphony one could fill fantasy come baby girl let sing ayy melody girl could write symphony one could fill fantasy come baby girl let sing ayy naa shawty got singing naa got singing shawty like melody head keep got singing like ayy every day like ipod stuck replay replay ayy shawty like melody like melody head keep got singing like hey ayy every day like ipod stuck replay replay 
"""Sexy Bitch""",yes see cause every girl wan diva feel wan meet say low rumor believe say need slow baddest thing around town nothin like girl ever seen nothin compare neighborhood tryna find word describe girl without bein disrespectful way booty movin take stop doin pull clos tryna find word describe girl without disrespectful damn girl might also 
"""Breakeven""",still alive barely breathing praying god believe cause got time got freedom cause heart break break even best day worst finally met man gon put first wide awake trouble sleeping cause heart break breakeven even supposed best part always supposed say choked falling piece yeah falling piece say bad thing happen reason wise word gon stop bleeding cause moved still grieving heart break breakeven even even gon best part always supposed say choked falling piece yeah falling piece yeah falling piece one still love one leaving falling piece cause heart break break even might also like got heart heart none pain took suitcase took blame tryna make sense little remains cause left love love name still alive barely breathing prayed god believe cause got time got freedom cause heart break break break break even gon best part always supposed say choked falling piece yeah falling piece yeah falling piece one still love one leaving falling piece cause heart break break even break even break even break even 
"""Your Love Is My Drug""",maybe need rehab maybe need sleep got sick obsession seein dream lookin every alley makin desperate call stayin night hopin hittin head wall got boy hard find think time strung heart fried get mind love love love drug love love love said love love love drug love love love listen advice momma tellin think twice left device addicted crisis friend think gone crazy judgment gettin kinda hazy steeze gon affected keep like lovesick crackhead might also like got boy hard find think time time strung heart fried get mind love love love drug love love love said love love love drug love love love care people say rush worth price pay get high crash crave leave hey got question yeah wan slumber party basement yeah make heart beat like drum yeah love drug yeah drug yeah huh drug yeah huh drug yeah love drug yeah love love love drug love love love said love love love drug love love love love love love drug ooh woah love love love ooh woah said love love love drug ooh woah love love love ooh woah hey hey love love love love drug like beard 
