,Lyrics
"""Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini""",afraid come locker nervous could afraid come locker afraid somebody would see two three four tell people wore itsy bitsy teenie weenie yellow polka dot bikini wore first time today itsy bitsy teenie weenie yellow polka dot bikini locker wanted stay two three four stick around tell bop bop bop bop bopopopopopopop afraid come open badadup blanket around wore badadup afraid come open badadup sat bundled shore badadup two three four tell people wore itsy bitsy teenie weenie yellow polka dot bikini wore first time today itsy bitsy teenie weenie yellow polka dot bikini blanket wanted stay might also liketwo three four stick around tell bop bop bop bop bopopopopopopop afraid come water wonder gon afraid come water poor little girl turning blue two three four tell people wore itsy bitsy teenie weenie yellow polka dot bikini wore first time today itsy bitsy teenie weenie yellow polka dot bikini water wanted stay locker blanket blanket shore shore water guess 
"""Only the Lonely""",obsession animotion ode billie joe bobbie gentry one fine day chiffon lonely roy orbison ordinary people neil young lip sealed go edge ellen 
"""Where or When""",looked way remember clothes wearing clothes wore smile smiling smiling remember thing happen first time seem happening seems met laughed loved know whenyou might also 
"""Sixteen Reasons""",sixteen reason love one way hold hand two laughing eye three way understand four secret sigh part sixteen reason love five way comb hair six freckled nose seven way say care eight crazy clothes might also like half sixteen reason love nine snuggling car ten wish upon star eleven whispering phone twelve kiss alone thirteen way thrill heart fourteen voice neat fifteen say never part sixteen love complete sixteen reason love sixteen reason love 
"""Puppy Love""",called puppy love guess never know young heart really feel love called puppy love seventeen tell please tell fair take away dream cry night tear tear vain hope pray maybe someday back back arm arm back arm someone help help help please answer tell puppy love puppy love someone help help help please answer ever tell puppy love puppy love might also like 
"""Why""",love always love love broken heart cause love faith trust could cause love cause love think awfully sweet love say special treat love found perfect love yes love mine love love time never let love yes love always love lome yes love might also likewe found perfect love yes love mine love love love love love dear 
"""Save the Last Dance for Me""",dance every dance guy give eye let hold tight smile every smile man held hand neath pale moonlight forget taking home whose arm gon darlin save last dance mmm know know music fine like sparkling wine fun laugh sing yes know apart give heart anyone might also like forget taking home whose arm gon darlin save last dance mmm baby know love feel touch never never let love much dance dance carry till night gone time asks dance alone take home must tell cause forget taking home whose arm gon darlin save last dance cause forget taking home whose arm gon darlin save last dance mmm save last dance mmm save last dance 
"""Baby (You've Got What It Takes)""",well take robin make winter take two lip fire melt away snow well take two heart cookin make fire grow baby got take yeah know take lot kissin tell make romance sweet huh ooh take lot lovin make life complete mmm take lot woman knock foot baby got take said mmm mmm mmm huh mmm know got take take effort stay away take lifetime prove true take somebody special make say yeah baby got take huh mmm mmm mmm mmm know got take might also like take yeah yeah spot honey like spot stay away stay away take lifetime daddy prove true take somebody special like baby make say baby got take come say honey come say one time alright baby got take one time brook alright okay baby got 
"""Sink the Bismarck""",german biggest ship biggest gun bismarck fastest ship ever sailed sea deck gun big steer shell big tree cold foggy night came british ship hood every british seaman knew understood sink bismarck terror sea stop gun big steer shell big tree find german battleship makin fuss got sink bismarck cause world depends yeah hit deck runnin boy spin gun around find bismarck got cut hood found bismarck fatal day bismarck started firing fifteen mile away got sink bismarck battle sound smoke cleared away mighty hood went six long day weary night tried find trail churchill told people put every ship asail cause somewhere ocean know got got sink bismarck bottom sea find german battleship makin fuss got sink bismarck cause world depends yeah hit deck runnin boy spin gun around find bismarck got cut might also likethe fog gone seventh day saw morning sun ten hour away homeland bismarck made run admiral british fleet said turn bow around found german battleship gon cut british gun aimed shell coming fast first shell hit bismarck knew last mighty german battleship memory sink bismarck battle cry shook seven sea found german battleship twas makin fuss sink bismarck cause world depends hit deck runnin spun gun around yeah found mighty bismarck cut found german battleship twas makin fuss sink bismarck cause world depends hit deck runnin spun gun around found mighty bismarck cut 
"""Chain Gang""",hoh hoh hear something saying hoh hoh well know sound men working chain gang sound men working chain gang day long saying huh huh well know sound men working chain gang sound men working chain gang day long work hard till sun going working highway byway wearing wearing frown hear moaning life away hear somebody say might also like well know sound men working chain gang sound men working chain gang hear singing mmm huh hah going home one day huh hah going home see woman huh hah love dear meanwhile got work right huh hah well know sound men working chain gang sound men working chain gang day long singing huh work hard huh gim water thirsty work hard huh woah work hard huh 
"""Let It Be Me""",want stay around beg let take heaven one must cling someone forever let time meet love find complete love without sweet love would life never leave lonely tell love always let always let time meet love find complete love without sweet love betty would life never leave lonely tell love always let alwaysyou might also 
"""Good Timin'""",need timin tick tick tick good timin tock tock tock tock timin thing true good timin lil lil david grabbed stone lyin ground big goliath mighta stomped instead way around timin tick tick tick good timin tock tock tock tock timin thing true good timin might also like world woulda ever known columbus could queen isabella offered jewel timin tick tick tick good timin tock tock tock tock timin thing true good timin woulda happened happened meet might spent rest life walkin misery street timin tick tick tick good timin tock tock tock tock timin thing true good timin yeah timin whoa whoa whoa good timin yeah yeah yeah yeah timin thing true good timin yeah timin whoa whoa whoa good timin yeah yeah yeah yeah timin thing 
"""Beyond the Sea""",somewhere waiting lover stand golden sand watch ship sailing somewhere beyond sea watching could fly like bird high straight arm sailing far beyond star near beyond moon know beyond doubt heart lead soon meet beyond shore kiss happy beyond sea never sailing know beyond doubt heart lead soon meet know meet beyond shore kiss happy beyond sea never sailing might also likeno sailing long sailing bye bye sailing move captain 
"""Go, Jimmy, Go""",told come talking sweetest sweet talker world said better start talking want girl said jimmy said jimmy well talked floor said jimmy told come dancing best young dancer land well looked twinkle eye took hand said jimmy said jimmy well talked floor said jimmy said jimmy said jimmy well talked floor said jimmy told come kissing nothing kissing fool started giggle told teach thing never learn school might also like said jimmy said jimmy well talked floor said jimmy jimmy jimmy 
"""Night""",another night dream night lonely night time without feel kiss know bliss come dawn darling gone come back arm night feel kiss know bliss come dawn darling gone come back arm nightyou might also 
"""Burning Bridges""",told love knew gone burned ash want nothing remind burning bridge behind late turn back burning bridge behind want forget somehow sold house planned together said goodbye folk knew moved far away city tried hard forget burning bridge behind late turn back burning bridge behind want forget somehowyou might also 
"""The Big Hurt""",needle pin twilight till dawn watching clock till return lighting torch watching burn begin day day night ticking away waiting hear footstep say love appear time stay time try pretend last time big hurt end begin gone needle pin twilight till dawn come back wonder end big hurt big hurt big hurtyou might also 
"""Because They're Young""",star twice bright dream new come true young love like see happy couple strolling park swinging hand know feel way feel also know reason young young star twice bright dream new come true young love like see way search find secret spot last alone touch kiss breathe kiss remind joy known young young star twice bright dream new come true young love like like youyou might also 
"""Lonely Blue Boy""",name woe trouble heartache know yeah lonely lonely blue boy name life empty heart torn must raining night born yeah lonely lonely blue boy name well afraid tomorrow tired tired today say love answer love never came way writing letter someone unknown find alone well lonely lonely blue boy name remember lonely lonely blue boy nameyou might also 
"""Pretty Blue Eyes""",moved next door pretty blue eye pretty blue eye guy neighborhood keep sayin sure look good blue eye pretty blue eye saw window heart skipped beat gon sit doorstep meet pretty blue eye please come today tell say love love pretty blue eye saw window heart skipped beat gon sit doorstep meet pretty blue eye please come today tell say love love pretty blue eye might also like pretty blue 
"""Way Down Yonder in New Orleans""",well way yonder new orleans land dreamy scene garden eden know mean yeah creole baby flashin eye softly whisper tender sigh stop give lady fair little smile stop bet life linger little yeah heaven right earth beautiful queen yeah way yonder new orleans woah way yonder new orleans woah land dreamy scene garden eden know mean might also like well creole baby flashin eye softly whisper tender sigh stop give lady fair little smile stop bet life linger little yeah heaven right earth beautiful queen well way yonder new orleans yeah 
"""Paper Roses""",tender look mistook love take away flower gave send kind remind paper rose paper rose real rose seem imitation like imitation love thought would perfect lover seemed full sweetness start like big red rose made paper sweetness heart paper rose paper rose real rose seem imitation like imitation love like imitation love meyou might also 
"""Mr. Custer""",find song please add link need country joe fish funny live texas george strait funny friend say luke bryan funny america favorite pastime todd snider funny amos moses jerry reed funny baby like rock tractor funny bartender song sittin bar rehab funny battle new orleans johnny horton funny beer horse toby keith funny best day life kelly pickler funny big green tractor jason aldean funny billy got beer goggles neal mccoy funny bony finger hoyt axton funny boy named sue johnny cash funny brand new girlfriend steve holy funny brushy mountain conjugal trailer old crow medicine show funny bubba shot jukebox mark chestnut funny might also likec complain todd snider funny cat mouse mark stephen jones funny celebrity brad paisley funny chug lug roger miller funny cleaning gun rodney atkins funny mon sing bastard burning sensation rodney carrington funny conservative christian right wing republican straight white american male todd snider funny convoy mccall funny country man luke bryan funny dead skunk middle road loudon wainwright iii funny devil right hand steve earle funny shave leg deana carter funny dirty old egg suckin dog johnny cash funny farm little feat funny dropkick jesus bobby bare funny duma walker kentucky headhunter funny everything okay hank williams funny faster horse tom hall funny fist city loretta lynn funny flushed bathroom heart johnny cash funny fraternity blue townes van zandt funny friend low place garth brook funny girl country song maddie tae funny girl texas cooder funny god drunk jimmy buffett funny grandma got run reindeer elmo patsy funny guy time mindy mccready funny hicktown jason aldean funny honky tonk badonkadonk trace adkins funny hope rain jana kramer funny country david allan coe funny phone ring jimmy buffet funny like big tit joe walsh funny love honey patsy cline funny gon miss brad paisley funny spite john prine iris dement funny going pot willie nelson merle haggard funny come expect george strait funny jackson johnny cash june carter funny case todd snider funny johnny cash jason aldean funny king gone george jones funny kissing goodbye john denver funny legend us titanic jamie brockett funny let talk dirty hawaiian john prine funny life dance john michael montgomery funny lifestyle rich famous tracy byrd funny like dog billy currington funny long tall texan lyle lovett funny matchbox carl perkins funny neither brad paisley funny missing old johnny cash willie nelson merle haggard funny mississippi squirrel revival ray stevens funny lonely midland funny mom lonestar funny one every crowd montgomery gentry funny one last chance vince gill funny one piece time johnny cash funny online brad paisley funny pause claus arlo guthrie funny photo finish chris ledoux funny play train song todd snider funny please bury john prine funny please custer larry verne funny pm blue dolly parton funny pound sign kevin fowler funny put clothes back rodney carrington funny queen double wide trailer sammy kershaw funny redneck yacht club craig morgan funny redneck randy newman funny red solo cup toby keith funny rocky racoon beatles funny save horse ride cowboy big rich funny got goldmine got shaft jerry reed funny think tractor sexy kenny chesney funny shut fish maddie tae funny beach blake shelton funny song girl eric paslay funny statistician blue todd snider funny stay stay stay taylor swift funny stripe brandy clark funny tennessee bird walk jack blanchard misty morgan funny tequila make clothes fall joe nichols funny story collin raye funny right texas lyle lovett funny makin jew like jesus anymore kinky friedman funny tie kangaroo sport rolf harris funny trailerhood toby keith funny wall redneck mother jerry jeff walker funny water brad paisley funny see thing george jones funny weed willie toby keith funny guy got joe nichols funny gon take garbage john prine funny get drunk screw jimmy buffett funny wildwood weed jim stafford funny willin commander cody lost planet airman funny shirt john michael montgomery funny would jesus wear rolex ray stevens funny yee haw jake owen funny much fun toby keith funny roller skate buffalo herd roger miller funny lie band perry funny reason kid ugly conway twitty loretta lynn funny 
"""I Want to Be Wanted""",alone alone could cry want wanted wanted alone watching lover passing want wanted kissed want lip really kiss apart want heart really miss want know love eye misting way want loved alone lonely heart know want wanted wanted right tomorrow right want wanted want someone share laughter tear someone know love spend million year someone somewhere meant alone lonely heart know want wanted right tomorrow right want wanted might also likei want someone share laughter tear someone know love spend million year someone somewhere meant someone somewhere meant 
"""Mule Skinner Blues""",well good morning need another mule skinner new mud run hip well old mule skinner kentucky way make mule listen accept pay hee hee hee hee hee well hey hey little water boy come boy bring water bucket around like job water boy put bucket well old mule skinner kentucky way make mule listen accept pay hee hee hee hee hee well hey heyyou might also 
"""Cradle of Love""",wind blow cradle rock rock bye baby tree top wind blow well jack nimble jack quick jack jumped candle stick jumped high landed cradle love well rock bye baby tree top wind blow cradle rock rock bye baby tree top wind blow diddle diddle cat fiddle cow jumped moon way met turtle dove said let rockin cradle love well rock bye baby tree top wind blow cradle rock rock bye baby tree top wind blow jack jill went hill get pail water jack fell jill gave shove landed cradle love might also likewell rock bye baby tree top wind blow cradle rock rock bye baby tree top wind 
"""You Got What It Takes""",drive big fine car look like movie star money get far baby got take yeah yeah satisfy yeah yeah got take set soul fire woah yeah got take live beautiful place dress best taste nature give beautiful face baby got take yeah yeah satisfy got take set soul fire woah yeah got take near ooh wee head go around around kiss yeah love come tumblin send might also like live beautiful place dress best taste nature give beautiful face baby got take yeah yeah satisfy yeah yeah got take set soul fire woah woah got take near little girl head go around around kiss yeah love come tumblin send live beautiful place dress best taste nature give beautiful face baby got take yeah yeah satisfy yeah yeah got take set soul fire woah yeah got take yeah got take need money baby need car come know got take 
"""Please Help Me, I'm Falling""",please help falling love close door temptation let walk turn away darling begging please help falling love belong another whose arm grown cold promised forever hold never free dear know losing true please help falling would sin close door temptation let walk want darling please help falling love youyou might also like 
"""Love You So""",ever know night kneel say prayer hoping wake still need love heart promise never part love sure true love eternity always remember love true matter may stay heart mine end time dearest beg keep love plain true ask lord lord never take away love matter may remember love true love sure true love eternityyou might also 
"""Finger Poppin' Time""",finger pop poppin time finger poppin poppin time feel good real good sign come may come sue come johnny bobby finger pop poppin time feel good real good sign come may come sue come johnny bobby finger pop poppin time feel good real good sign hey hey hey hey finger pop poppin time finger poppin poppin time feel good real good signyou might also 
"""Harbor Lights""",told parting old harbor light brought watched harbor light could help tear starting goodbye tender night beside silvery sea long hold near kiss ship shore know lonely night heart whispering harbor light steal love long hold near kiss ship shore know lonely night heart whispering harbor light steal love might also 
"""Tossin' and Turnin'""",baby baby something sleep last night thinkin baby thing right well tossin turnin turnin tossin tossin turnin night kicked blanket floor turned pillow upside never never tossin turnin turnin tossin tossin turnin night jumped bed turned light pulled shade went kitchen bite rolled shade turned light jumped back bed middle night might also like clock downstairs strikin four get mind heard milkman door cause tossin turnin turnin tossin tossin turnin night jumped bed turned light pulled shade went kitchen bite rolled shade turned light jumped back bed middle night clock downstairs strikin four get mind heard milkman door cause tossin turnin hey hey hey hey turnin tossin day day day tossin hey hey hey turnin tossin tossin turnin babe babe babe 
"""I Fall to Pieces""",fall piece time see fall piece friend want act like never kissed want forget forget pretend never met never met tried tried yet walk fall piece fall piece time someone speaks name speaks name fall piece time add flame tell find someone else love someone love love way used used time someone new walk fall piece might also like walk fall piece 
"""Michael""",michael row boat ashore hallelujah michael row boat ashore hallelujah sister help trim sail hallelujah sister help trim sail hallelujah michael row boat ashore hallelujah michael row boat ashore hallelujah river jordan chilly cold hallelujah chill body soul hallelujah michael row boat ashore hallelujah michael row boat ashore hallelujah river deep river wide hallelujah milk honey side hallelujah michael row boat ashore hallelujah michael row boat ashore hallelujah might also 
"""Crying""",alright could smile saw last night held hand tight stopped say hello wished well tell cry cry said long left standing alone alone cry cry cry cry hard understand touch hand start cry thought true true love even darling might also like love always cry cry yes gone moment cry cry cry cry yeah cry cry 
"""Runaway""",walk along wonder went wrong love love strong still walk think thing done together heart young walkin rain tear fallin feel pain wishin end misery wonder wah wah wah wah wonder ran away wonder stay little runaway run run run run runaway walkin rain tear fallin feel pain wishin end misery wonder wah wah wah wah wonder ran away wonder stay might also like little runaway run run run run runaway run run run run runaway run run run run runaway 
"""My True Story""",cry cry cry whoa story yeah must tell two lover bewail must cry cry cry whoa blue away cry cry cry blue away name sue yeah name earl love lorraine wonderful girl must cry cry cry whoa blue away blue away love make happy love make cry love make tear fall lover say goodbye cry cry cry whoa blue away cry cry cry blue away might also likethis story end yeah lie name changed dear protect must cry cry cry whoa blue away cry cry cry whoa blue away must cry cry cry cry whoa blue away 
"""Pony Time""",pony time get boogety boogety boogety boogety shoo hey everybody boogety boogety boogety boogety shoo union hall boogety boogety boogety boogety shoo pony time boogety boogety boogety boogety shoo hear call boogety boogety boogety boogety shoo get hoo quit get boogety boogety boogety boogety shoo pony partner boogety boogety boogety boogety shoo big bos line boogety boogety boogety boogety shoo well way boogety boogety boogety boogety shoo gon look real fine boogety boogety boogety boogety shoo get hoo quit get boogety boogety boogety boogety shoo might also like turn left say gee turn right say haw gee dance dance little baby haw yeah baby baby baby baby pony baby baby baby baby baby baby baby baby boogety boogety boogety boogety shoo see little suzie boogety boogety boogety boogety shoo life next door boogety boogety boogety boogety shoo doin pony boogety boogety boogety boogety shoo takin floor boogety boogety boogety boogety shoo get hoo quit get boogety boogety boogety boogety shoo pony partner boogety boogety boogety boogety shoo big bos line boogety boogety boogety boogety shoo way boogety boogety boogety boogety shoo gon look real fine boogety boogety boogety boogety shoo get hoo quit get boogety boogety boogety boogety shoo turn left say gee turn right say haw gee dance dance little baby haw yeah baby baby baby baby pony baby baby baby baby baby baby baby baby boogety boogety boogety boogety shoo 
"""Raindrops""",raindrop many raindrop feel like raindrop falling eye eye falling eye since love left alone would bring back know gone know gone must cloud head rain keep falling eye eye teardrop man supposed cry must raindrop many raindrop feel like raindrop falling eye eye falling eye might also like must cloud head rain keep falling eye eye teardrop man supposed cry must raindrop many raindrop feel like raindrop falling eye eye falling eye keep fallin fallin eye whoo keep fallin eye falling eye 
"""Wooden Heart""",please break heart two hard cause wooden heart say goodbye know would cry maybe would die cause wooden heart string upon love mine always start treat nice treat good treat like know cause made wood wooden heartyou might also 
"""Take Good Care of My Baby""",tear fallin cause taken away though really hurt somethin got say take good care baby please ever make blue tell love make sure thinkin everything say take good care baby ever make cry let love surround paint rainbow around let see cloudy sky upon time little girl mine true know never might also like take good care baby kind discover really love send baby back home well take good care baby kind discover really love send baby back home take good care baby well take good care baby take good care baby 
"""Running Scared""",afraid might show yeah runnin scared would came back wanted runnin scared feelin low runnin scared love runnin scared afraid lose came back one would choose standing sure head air heart breaking one would turned around walked away meyou might also like 
"""Dedicated to the One I Love""",far away baby know hard baby hard baby darkest hour dawn night bed baby whisper little prayer baby tell star dedicated one love life never exactly like want satisfied knowing love one thing want especially something everybody need night bed baby whisper little prayer baby tell star dedicated one love dedicated one loveyou might also 
"""Will You Love Me Tomorrow""",tonight mine completely give love sweetly tonight light love eye love tomorrow lasting treasure moment pleasure believe magic sigh still love tomorrow tonight word unspoken say one heart broken night night meet morning meet morning sun like know love love sure tell ask still love tomorrow tell ask still love tomorrow still love tomorrow still love might also like 
"""Where the Boys Are""",boy someone wait smilin face warm embrace two arm hold tenderly boy true love walking street town know lookin crowd million people find valentine climb highest steeple tell world mine til hold wait impatiently boy boy boy someone wait til hold wait impatiently boy boy boy someone wait meyou might also like 
"""Hit the Road Jack""",hit road jack come back hit road jack come back say hit road jack come back hit road jack come back old woman old woman treat mean meanest old woman ever seen guess say pack thing right hit road jack come back hit road jack come back say hit road jack come back hit road jack come back might also like baby listen baby treat way cause back foot day care cause understood got money good well guess say pack thing right hit road jack come back hit road jack come back say hit road jack come back hit road jack come back well come back say come back understand come back mean come back baby please come back trying come back 
"""Sad Movies (Make Me Cry)""",said work went show alone turned light turned projector news world started begin saw darlin best friend walk though sittin see sat right front kissed lip almost died middle color cartoon started cry movie always make cry movie always make cry got slowly walked home mama saw tear said wrong keep telling lie said movie make cry movie always make cry movie always make cry ooh ooh ooh ooh ooh ooh ooh ooh ooh movie make cry iyou might also 
"""Mother-in-Law""",mother law mother law mother law worst person know mother law mother law mother law mother law worry leave alone would happy home sent mother law mother law satan name bout every time open mouth step try put could stoop low come home pay asks made think advice constitution would leave would solution come back might also likemother law mother law 
"""Bristol Stomp""",bristol stomp really somethin join jumpin bristol stomp whoa start spinning every friday night dance greatest right well latest greatest sight see kid bristol sharp pistol whoa bristol stomp whoa really somethin join jumpin whoa bristol stomp whoa started bristol dee jay hop hollered whistled never want stop pony twisted rocked daddy kid bristol sharp pistol bristol stomp whoa really somethin join jumpin bristol stomp duh duh doo might also likeit got groovy beat make stomp foot come along try gon feel fine dance fall love see bristol stomp make mine mine star spinning every friday night dance greatest right latest greatest sight see kid bristol sharp pistol bristol stomp whoa really somethin join jumpin bristol stomp started bristol dee jay hop hollered whistled never want stop pony twisted rocked daddy kid bristol sharp pistol bristol stomp whoa really somethin join jumpin bristol stomp kid bristol sharp pistol bristol 
"""Travelin' Man""",world every part heart least one lovely girl pretty orita waiting old mexico ever alaska stop see cute little eskimo sweet ulein berlin town make heart start yearn china doll old hong kong wait return pretty polynesian baby sea remember night walked sand waikiki held tight sweet ulein berlin town make heart start yearn china doll old hong kong wait return pretty polynesian baby sea remember night walked sand waikiki held tight might also likeoh travelin man yes travelin man yes travelin man travelin man 
